#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV):0.0008253603744344709 ph/cm^2/s


IP LOGLOG

DP 100.0  1.6555913468474513e-05
DP 109.854  1.222976645788202e-05
DP 120.679  9.064700180893154e-06
DP 132.571  6.755736777236733e-06
DP 145.635  5.062041030051911e-06
DP 159.986  3.8035415509383493e-06
DP 175.751  2.865261398150385e-06
DP 193.07  2.160314094682456e-06
DP 212.095  1.6320857607861775e-06
DP 232.995  1.2374548970632426e-06
DP 255.955  9.435406821060673e-07
DP 281.177  7.248746715913195e-07
DP 308.884  5.61001475285001e-07
DP 339.322  4.376227612605725e-07
DP 372.759  3.4450380654708395e-07
DP 409.492  2.736478190786119e-07
DP 449.843  2.2141378723520908e-07
DP 494.171  1.8806407094450182e-07
DP 542.868  1.4530367234592152e-07
DP 596.362  1.0643919653436887e-07
DP 655.129  7.949475732861141e-08
DP 719.686  6.100104226197744e-08
DP 790.604  4.688365191427831e-08
DP 868.511  3.606144578007402e-08
DP 954.095  2.7748423192046335e-08
DP 1048.11  2.1353765723019927e-08
DP 1151.4  1.6429414268642677e-08
DP 1264.86  1.2634303969496395e-08
DP 1389.5  9.709313210649754e-09
DP 1526.42  7.455161613910865e-09
DP 1676.83  5.713698528380802e-09
DP 1842.07  4.362834147114259e-09
DP 2023.59  3.305595774351699e-09
DP 2223.0  2.5048465106068686e-09
DP 2442.05  1.8895774822475944e-09
DP 2682.7  1.418438391898945e-09
DP 2947.05  1.060748526338453e-09
DP 3237.46  7.918208623058509e-10
DP 3556.48  5.854096832281535e-10
DP 3906.94  4.29191158292446e-10
DP 4291.93  3.121211025702413e-10
DP 4714.87  2.247523564959786e-10
DP 5179.47  1.598666611323241e-10
DP 5689.87  1.1196789624685002e-10
DP 6250.55  7.717435782661822e-11
DP 6866.49  5.2407987497878994e-11
DP 7543.12  3.506533036714374e-11
DP 8286.43  2.3127405729134226e-11
DP 9102.98  1.5048631447492698e-11
DP 10000.0  9.67766333e-12
EN
