#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV):0.001233236859718795 ph/cm^2/s


IP LOGLOG

DP 100.0  2.172749462396782e-05
DP 109.854  1.6698949993867567e-05
DP 120.679  1.2831779933985574e-05
DP 132.571  9.86731062343933e-06
DP 145.635  7.595059605120995e-06
DP 159.986  5.838466550539133e-06
DP 175.751  4.479350289938904e-06
DP 193.07  3.4384173882253514e-06
DP 212.095  2.64052644019757e-06
DP 232.995  2.0285809186808285e-06
DP 255.955  1.561025906263434e-06
DP 281.177  1.2022814928474585e-06
DP 308.884  9.290209752778457e-07
DP 339.322  7.19848814342168e-07
DP 372.759  5.597031310463948e-07
DP 409.492  4.3749073593273696e-07
DP 449.843  3.478613480460619e-07
DP 494.171  2.801598295690788e-07
DP 542.868  2.2139397395168213e-07
DP 596.362  1.703976012943249e-07
DP 655.129  1.2884255254329628e-07
DP 719.686  9.86633058120347e-08
DP 790.604  7.685076073450374e-08
DP 868.511  6.00922557871602e-08
DP 954.095  4.705323617842399e-08
DP 1048.11  3.685226978322354e-08
DP 1151.4  2.8860945492964134e-08
DP 1264.86  2.2596713987521297e-08
DP 1389.5  1.7685948796979756e-08
DP 1526.42  1.3836669632234686e-08
DP 1676.83  1.0819346974288875e-08
DP 1842.07  8.452350899303828e-09
DP 2023.59  6.589358696802402e-09
DP 2223.0  5.13321924976215e-09
DP 2442.05  3.994185034840641e-09
DP 2682.7  3.1028416183490192e-09
DP 2947.05  2.40677742945389e-09
DP 3237.46  1.865184679696194e-09
DP 3556.48  1.4417360542808472e-09
DP 3906.94  1.1115997808993486e-09
DP 4291.93  8.55115763056064e-10
DP 4714.87  6.561045754817748e-10
DP 5179.47  5.018448812509764e-10
DP 5689.87  3.823288273136871e-10
DP 6250.55  2.9009189815543057e-10
DP 6866.49  2.192084897608777e-10
DP 7543.12  1.6491429604171725e-10
DP 8286.43  1.2348885200791293e-10
DP 9102.98  9.201905884715982e-11
DP 10000.0  6.820332259999999e-11
EN
