#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV):0.0014028662343838622 ph/cm^2/s


IP LOGLOG

DP 100.0  2.3444915492548992e-05
DP 109.854  1.792206884116996e-05
DP 120.679  1.3708209942499127e-05
DP 132.571  1.0519625923893335e-05
DP 145.635  8.122763947916426e-06
DP 159.986  6.3042638468861255e-06
DP 175.751  4.889491345961507e-06
DP 193.07  3.7840109148872137e-06
DP 212.095  2.9286751878082205e-06
DP 232.995  2.2713483769057682e-06
DP 255.955  1.7726040596261577e-06
DP 281.177  1.3941201085756622e-06
DP 308.884  1.1019871777425904e-06
DP 339.322  8.761741243324166e-07
DP 372.759  7.034345364169079e-07
DP 409.492  5.72522812631674e-07
DP 449.843  4.94090585085903e-07
DP 494.171  4.629461833034841e-07
DP 542.868  3.7053267588402016e-07
DP 596.362  2.628666704281828e-07
DP 655.129  1.8606382890911276e-07
DP 719.686  1.465288168262657e-07
DP 790.604  1.1708398062420265e-07
DP 868.511  9.373767769042339e-08
DP 954.095  7.509792273200477e-08
DP 1048.11  6.017455378179121e-08
DP 1151.4  4.820507378810024e-08
DP 1264.86  3.858918674209024e-08
DP 1389.5  3.0861827294595475e-08
DP 1526.42  2.4653500307608865e-08
DP 1676.83  1.9657414312683508e-08
DP 1842.07  1.5621186120450396e-08
DP 2023.59  1.2323281341322071e-08
DP 2223.0  9.71309279734777e-09
DP 2442.05  7.624332093112644e-09
DP 2682.7  5.956071026033396e-09
DP 2947.05  4.634455808666739e-09
DP 3237.46  3.598776152324995e-09
DP 3556.48  2.7719322656061423e-09
DP 3906.94  2.1201731191797474e-09
DP 4291.93  1.6115758300902388e-09
DP 4714.87  1.2162564469948981e-09
DP 5179.47  9.100952458966056e-10
DP 5689.87  6.74003975485368e-10
DP 6250.55  4.941638758087059e-10
DP 6866.49  3.588786071948633e-10
DP 7543.12  2.581066690980347e-10
DP 8286.43  1.8384841563907417e-10
DP 9102.98  1.2973683657287442e-10
DP 10000.0  9.073081429999999e-11
EN
