#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV):0.001251620723763619 ph/cm^2/s


IP LOGLOG

DP 100.0  2.5402180072989694e-05
DP 109.854  1.865292932744546e-05
DP 120.679  1.374258934753583e-05
DP 132.571  1.0186860083405753e-05
DP 145.635  7.6142074752919265e-06
DP 159.986  5.719846629061531e-06
DP 175.751  4.338983469662426e-06
DP 193.07  3.2723643336862673e-06
DP 212.095  2.4647083969615843e-06
DP 232.995  1.861854978321823e-06
DP 255.955  1.4227588335555912e-06
DP 281.177  1.1004338637456876e-06
DP 308.884  8.578810186644953e-07
DP 339.322  6.741930420774552e-07
DP 372.759  5.387888841744377e-07
DP 409.492  4.411469020912999e-07
DP 449.843  4.0176724693199686e-07
DP 494.171  4.730927178724412e-07
DP 542.868  3.4088428024344794e-07
DP 596.362  1.7967812657609128e-07
DP 655.129  1.0087763690657366e-07
DP 719.686  7.165115080030756e-08
DP 790.604  5.0818938731947004e-08
DP 868.511  3.578549835912794e-08
DP 954.095  2.4981632697970025e-08
DP 1048.11  1.7271803395444165e-08
DP 1151.4  1.18165422063797e-08
DP 1264.86  7.97503873299293e-09
DP 1389.5  5.317413080432987e-09
DP 1526.42  3.504845336629154e-09
DP 1676.83  2.283300930781385e-09
DP 1842.07  1.4699500400778973e-09
DP 2023.59  9.340369741128356e-10
DP 2223.0  5.870372320488275e-10
DP 2442.05  3.6546265889125895e-10
DP 2682.7  2.254802405940173e-10
DP 2947.05  1.379786713982346e-10
DP 3237.46  8.380793368946006e-11
DP 3556.48  5.0459630822690055e-11
DP 3906.94  3.0194397236985727e-11
DP 4291.93  1.7961367579895953e-11
DP 4714.87  1.0621757568557698e-11
DP 5179.47  6.245636837796454e-12
DP 5689.87  3.650619359098991e-12
DP 6250.55  2.122995932124333e-12
DP 6866.49  1.2303549605953913e-12
DP 7543.12  7.11083768791607e-13
DP 8286.43  4.101223348361619e-13
DP 9102.98  2.362038691067792e-13
DP 10000.0  1.36650578e-13
EN
