# PrimaryElectrons spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 8.607379737602514 sr
# Integral Flux: 0.00105342710617376 #/cm^2/s
IP LOGLOG
DP 100.0 1.8826716507353053e-39
DP 120.45035402587824 3.4953877278108475e-39
DP 145.082877849594 6.553537295241579e-39
DP 174.7528400007683 1.2427146490924618e-38
DP 210.49041445120199 2.387239563805463e-38
DP 253.53644939701115 4.6538384975229406e-38
DP 305.3855508833416 9.223829792074566e-38
DP 367.8379771828634 1.8620866283553187e-37
DP 443.0621457583882 3.835860763263352e-37
DP 533.6699231206312 8.076708218372901e-37
DP 642.807311728432 1.740849739262146e-36
DP 774.263682681127 3.8456252969492494e-36
DP 932.60334688322 8.714047990122425e-36
DP 1123.3240329780276 2.0263294767065096e-35
DP 1353.0477745798075 4.835437265548325e-35
DP 1629.7508346206434 1.1835978864438639e-34
DP 1963.0406500402723 2.969231932217534e-34
DP 2364.4894126454074 7.624824904014863e-34
DP 2848.035868435802 2.001303772758418e-33
DP 3430.4692863149194 5.359918370237098e-33
DP 4132.012400115339 1.4621067797997893e-32
DP 4977.023564332114 4.0548216094230554e-32
DP 5994.8425031894085 1.1411495669842858e-31
DP 7220.809018385471 3.253347331736868e-31
DP 8697.490026177835 9.380424434390688e-31
DP 10476.157527896663 2.731266965135171e-30
DP 12618.56883066021 8.01981164041803e-30
DP 15199.11082952933 2.3718970443683015e-29
DP 18307.382802953696 7.058222670743871e-29
DP 22051.307399030455 2.1113405344850635e-28
DP 26560.87782946684 6.343585414521322e-28
DP 31992.671377973846 1.913041254571804e-27
DP 38535.28593710536 5.787222691399267e-27
DP 46415.88833612782 1.7553111639388487e-26
DP 55908.10182512223 5.335698563018249e-26
DP 67341.50657750828 1.624896609625905e-25
DP 81113.08307896872 4.955941565510985e-25
DP 97700.99572992246 1.5134998639286171e-24
DP 117681.19524349991 4.627026354580645e-24
DP 141747.41629268078 1.4158186595677398e-23
DP 170735.26474706922 4.3354557798087675e-23
DP 205651.23083486516 1.32840174089748e-22
DP 247707.6355991714 4.0723649029455406e-22
DP 298364.724028334 1.2489614515035969e-21
DP 359381.36638046254 3.831821510358278e-21
DP 432876.12810830615 1.1759515181143346e-20
DP 521400.8287999695 3.6097726992741606e-20
DP 628029.1441834259 1.108303241999253e-19
DP 756463.3275546291 3.377130262220863e-19
DP 911162.7561154906 9.959333808125882e-19
DP 1097498.7654930567 2.880515007672835e-18
DP 1321941.1484660313 7.816327216435133e-18
DP 1592282.793341094 2.033835755539176e-17
DP 1917910.2616724886 5.049347814145243e-17
DP 2310129.7000831626 1.1830738660225859e-16
DP 2782559.402207126 2.6323078155558524e-16
DP 3351602.6509388476 5.555047409381837e-16
DP 4037017.258596558 1.1412792184409068e-15
DP 4862601.580065354 2.20724280705257e-15
DP 5857020.818056673 4.050073311326923e-15
DP 7054802.310718645 6.875492881051573e-15
DP 8497534.359086456 9.873632848006648e-15
DP 10235310.218990268 1.0947358237683648e-14
DP 12328467.394420683 8.86349696266077e-15
DP 14849682.622544665 5.715932082153249e-15
DP 17886495.29057435 3.2820262962000094e-15
DP 21544346.900318865 1.8103542103788555e-15
DP 25950242.113997374 9.891426826915542e-16
DP 31257158.496882416 5.341851372876666e-16
DP 37649358.067924716 2.953675372268501e-16
DP 45348785.081285916 1.6253562042318446e-16
DP 54622772.17684348 8.953838622056474e-17
DP 65793322.465756826 4.983292961539326e-17
DP 79248289.83539185 2.766549657343569e-17
DP 95454845.66618347 1.53099037456529e-17
DP 114975699.53977403 8.461871292006734e-18
DP 138488637.13938746 4.744803167616335e-18
DP 166810053.72000557 2.558126510529581e-18
DP 200923300.2565054 1.3686751837449797e-18
DP 242012826.47943833 7.544217178574655e-19
DP 291505306.28251815 4.2856037251652442e-19
DP 351119173.42151415 2.4137847076704587e-19
DP 422924287.4389499 1.3130744221546807e-19
DP 509413801.48163855 7.21912160463538e-20
DP 613590727.3413188 4.0423516921433756e-20
DP 739072203.3525776 2.40709775963457e-20
DP 890215085.4450393 1.4333536677795586e-20
DP 1072267222.0103253 8.535186112438137e-21
DP 1291549665.0148828 5.08244431304554e-21
DP 1555676143.9304786 3.0264413517072973e-21
DP 1873817422.8603868 1.8021539816605873e-21
DP 2257019719.633917 1.0731280061921091e-21
DP 2718588242.732951 6.390151615194783e-22
DP 3274549162.877732 3.8051413652014344e-22
DP 3944206059.437664 2.2658462085215416e-22
DP 4750810162.102813 1.3492426556403685e-22
DP 5722367659.35022 8.03433056026934e-23
DP 6892612104.3497095 4.7842000311679153e-23
DP 8302175681.319769 2.848845932654728e-23
DP 10000000000.0 1.696401299094985e-23
EN
