#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV):  0.017293201590129727 ph/cm^2/s
#Pivot Energy = 1 GeV (Spectrum from 4FGL-DR3)


IP LINLIN
DP 645.0 9.932999999999999e-07
DP 651.0 9.705999999999999e-07
DP 657.0 9.485e-07
DP 663.0 9.268e-07
DP 669.0 9.057e-07
DP 676.0 8.85e-07
DP 682.0 8.649000000000001e-07
DP 688.0 8.451e-07
DP 695.0 8.259e-07
DP 701.0 8.07e-07
DP 707.0 7.886e-07
DP 714.0 7.706e-07
DP 721.0 7.531e-07
DP 727.0 7.359e-07
DP 734.0 7.190999999999999e-07
DP 741.0 7.027e-07
DP 748.0 6.867e-07
DP 755.0 6.71e-07
DP 762.0 6.556999999999999e-07
DP 769.0 6.407000000000001e-07
DP 776.0 6.261e-07
DP 783.0 6.118999999999999e-07
DP 790.0 5.978999999999999e-07
DP 798.0 5.843000000000001e-07
DP 805.0 5.709e-07
DP 812.0 5.579e-07
DP 820.0 5.452e-07
DP 828.0 5.328e-07
DP 835.0 5.205999999999999e-07
DP 843.0 5.087e-07
DP 851.0 4.971e-07
DP 859.0 4.858e-07
DP 867.0 4.747e-07
DP 875.0 4.639e-07
DP 883.0 4.533e-07
DP 891.0 4.43e-07
DP 899.0 4.329e-07
DP 908.0 4.2299999999999996e-07
DP 916.0 4.1330000000000003e-07
DP 925.0 4.039e-07
DP 933.0 3.947e-07
DP 942.0 3.857e-07
DP 951.0 3.769e-07
DP 959.0 3.683e-07
DP 968.0 3.5990000000000004e-07
DP 977.0 3.517e-07
DP 986.0 3.437e-07
DP 995.0 3.358e-07
DP 1004.9999999999999 3.282e-07
DP 1014.0 3.207e-07
DP 1022.9999999999999 3.134e-07
DP 1033.0 3.0620000000000003e-07
DP 1042.0 2.9920000000000003e-07
DP 1052.0 2.924e-07
DP 1062.0 2.857e-07
DP 1072.0 2.792e-07
DP 1082.0 2.729e-07
DP 1092.0 2.6659999999999997e-07
DP 1102.0 2.606e-07
DP 1112.0 2.546e-07
DP 1122.0 2.4879999999999995e-07
DP 1133.0 2.431e-07
DP 1143.0 2.376e-07
DP 1154.0 2.322e-07
DP 1164.0 2.269e-07
DP 1175.0 2.217e-07
DP 1186.0 2.166e-07
DP 1197.0 2.117e-07
DP 1208.0 2.0689999999999998e-07
DP 1219.0 2.022e-07
DP 1231.0 1.9750000000000001e-07
DP 1242.0 1.93e-07
DP 1254.0 1.886e-07
DP 1265.0 1.843e-07
DP 1277.0 1.8009999999999998e-07
DP 1289.0 1.76e-07
DP 1301.0 1.72e-07
DP 1313.0 1.681e-07
DP 1325.0 1.642e-07
DP 1337.0 1.605e-07
DP 1350.0 1.568e-07
DP 1362.0 1.533e-07
DP 1375.0 1.498e-07
DP 1388.0 1.4640000000000001e-07
DP 1401.0 1.43e-07
DP 1414.0 1.3980000000000002e-07
DP 1427.0 1.3660000000000002e-07
DP 1440.0 1.335e-07
DP 1453.0 1.304e-07
DP 1467.0 1.2740000000000002e-07
DP 1480.0 1.2449999999999998e-07
DP 1494.0 1.217e-07
DP 1508.0 1.189e-07
DP 1522.0 1.1620000000000001e-07
DP 1536.0 1.1349999999999999e-07
DP 1550.0 1.11e-07
DP 1565.0 1.084e-07
DP 1579.0 1.06e-07
DP 1594.0 1.035e-07
DP 1608.0 1.0119999999999999e-07
DP 1623.0 9.887e-08
DP 1638.0 9.661e-08
DP 1654.0 9.441e-08
DP 1669.0 9.226000000000001e-08
DP 1684.0 9.015e-08
DP 1700.0 8.81e-08
DP 1716.0 8.609e-08
DP 1732.0 8.412e-08
DP 1748.0 8.221e-08
DP 1764.0 8.032999999999999e-08
DP 1780.0 7.85e-08
DP 1797.0 7.671e-08
DP 1813.0 7.496e-08
DP 1830.0 7.325000000000001e-08
DP 1847.0 7.158e-08
DP 1864.0 6.995e-08
DP 1882.0 6.835e-08
DP 1899.0 6.679e-08
DP 1917.0 6.527e-08
DP 1935.0 6.378e-08
DP 1952.0 6.232e-08
DP 1971.0 6.090000000000001e-08
DP 1989.0 5.9509999999999995e-08
DP 2007.0000000000002 5.816e-08
DP 2025.9999999999998 5.683e-08
DP 2045.0 5.553e-08
DP 2064.0 5.427e-08
DP 2083.0 5.303e-08
DP 2102.0 5.1820000000000003e-08
DP 2122.0 5.064e-08
DP 2141.0 4.9480000000000004e-08
DP 2161.0 4.836e-08
DP 2181.0 4.725e-08
DP 2201.0 4.617e-08
DP 2222.0 4.512e-08
DP 2242.0 4.409e-08
DP 2263.0 4.3090000000000004e-08
DP 2284.0 4.21e-08
DP 2305.0 4.114e-08
DP 2327.0 4.021e-08
DP 2348.0 3.9289999999999996e-08
DP 2370.0 3.8389999999999995e-08
DP 2392.0 3.752e-08
DP 2414.0 3.666e-08
DP 2437.0 3.582e-08
DP 2459.0 3.501e-08
DP 2482.0 3.421e-08
DP 2505.0 3.3429999999999996e-08
DP 2528.0 3.2669999999999994e-08
DP 2552.0 3.192e-08
DP 2575.0 3.119e-08
DP 2599.0 3.048e-08
DP 2623.0 2.979e-08
DP 2648.0 2.911e-08
DP 2672.0 2.844e-08
DP 2697.0 2.779e-08
DP 2722.0 2.716e-08
DP 2747.0 2.654e-08
DP 2773.0 2.594e-08
DP 2798.0 2.534e-08
DP 2824.0 2.477e-08
DP 2850.0 2.4199999999999998e-08
DP 2877.0 2.365e-08
DP 2904.0 2.311e-08
DP 2930.0 2.258e-08
DP 2958.0 2.2070000000000002e-08
DP 2985.0 2.156e-08
DP 3013.0 2.107e-08
DP 3041.0 2.059e-08
DP 3069.0 2.012e-08
DP 3097.0 1.9660000000000002e-08
DP 3126.0 1.921e-08
DP 3155.0 1.878e-08
DP 3184.0 1.835e-08
DP 3214.0 1.793e-08
DP 3244.0 1.752e-08
DP 3274.0 1.7119999999999997e-08
DP 3304.0 1.673e-08
DP 3335.0 1.635e-08
DP 3366.0 1.5979999999999998e-08
DP 3397.0 1.5610000000000002e-08
DP 3428.0 1.526e-08
DP 3460.0 1.491e-08
DP 3492.0 1.4569999999999999e-08
DP 3524.0 1.4239999999999999e-08
DP 3557.0 1.391e-08
DP 3590.0 1.359e-08
DP 3623.0 1.328e-08
DP 3657.0 1.298e-08
DP 3691.0 1.268e-08
DP 3725.0 1.24e-08
DP 3760.0 1.2109999999999999e-08
DP 3795.0 1.184e-08
DP 3830.0 1.1569999999999999e-08
DP 3865.0 1.13e-08
DP 3901.0 1.104e-08
DP 3937.0 1.079e-08
DP 3974.0 1.055e-08
DP 4011.0 1.031e-08
DP 4048.0 1.007e-08
DP 4085.0 9.841e-09
DP 4123.0 9.617e-09
DP 4161.0 9.398000000000001e-09
DP 4200.0 9.183e-09
DP 4239.0 8.974000000000001e-09
DP 4278.0 8.769e-09
DP 4318.0 8.569e-09
DP 4358.0 8.374e-09
DP 4398.0 8.183e-09
DP 4439.0 7.996e-09
DP 4480.0 7.814e-09
DP 4522.0 7.636e-09
DP 4564.0 7.461e-09
DP 4606.0 7.2910000000000006e-09
DP 4649.0 7.125e-09
DP 4692.0 6.962e-09
DP 4735.0 6.804e-09
DP 4779.0 6.647999999999999e-09
DP 4824.0 6.497e-09
DP 4868.0 6.3489999999999995e-09
DP 4913.0 6.2040000000000005e-09
DP 4959.0 6.062e-09
DP 5005.0 5.924000000000001e-09
DP 5051.0 5.789e-09
DP 5098.0 5.657000000000001e-09
DP 5145.0 5.528e-09
DP 5193.0 5.402e-09
DP 5241.0 5.279e-09
DP 5290.0 5.158000000000001e-09
DP 5339.0 5.0409999999999994e-09
DP 5388.0 4.926e-09
DP 5438.0 4.813000000000001e-09
DP 5489.0 4.703e-09
DP 5540.0 4.5959999999999994e-09
DP 5591.0 4.4909999999999995e-09
DP 5643.0 4.389e-09
DP 5695.0 4.2889999999999996e-09
