IP LOGLOG
DP 100.0 0.0008898141206096128
DP 100.46204213468127 0.0008841801321737749
DP 100.92621909870476 0.0008785797754448474
DP 101.39254075588151 0.000873012861043604
DP 101.86101701559758 0.0008674792005992537
DP 102.3316578330245 0.0008619786067443375
DP 102.80447320933092 0.0008565108931096508
DP 103.27947319189518 0.0008510758743191878
DP 103.75666787451857 0.0008456733659851141
DP 104.23606739764017 0.00084030318470276
DP 104.71768194855203 0.0008349651480456404
DP 105.20152176161585 0.0008296590745604978
DP 105.68759711848043 0.0008243847837623694
DP 106.17591834829997 0.00081914209612968
DP 106.66649582795392 0.000813930833099354
DP 107.15933998226711 0.0008087508170619578
DP 107.65446128423153 0.0008036018713568602
DP 108.15187025522883 0.0007984838202674175
DP 108.65157746525381 0.0007933964890161855
DP 109.15359353313916 0.0007883397037601489
DP 109.65792912678099 0.0007833132915859796
DP 110.16459496336564 0.0007783170805053145
DP 110.67360180959737 0.0007733508994500551
DP 111.18496048192706 0.000768414578267697
DP 111.69868184678232 0.0007635079477166708
DP 112.21477682079802 0.0007586308394617181
DP 112.73325637104868 0.0007537830860692793
DP 113.25413151528117 0.0007489645210029103
DP 113.7774133221491 0.0007441749786187191
DP 114.30311291144791 0.0007394142941608261
DP 114.83124145435112 0.0007346823037568439
DP 115.36181017364783 0.0007299788444133811
DP 115.8948303439811 0.0007253037540115688
DP 116.43031329208765 0.0007206568713026059
DP 116.96827039703852 0.0007160380359033273
DP 117.50871309048075 0.0007114470882917983
DP 118.05165285688052 0.00070688386980292
DP 118.59710123376698 0.0007023482226240679
DP 119.1450698119776 0.0006978399897907432
DP 119.69557023590434 0.0006933590151822502
DP 120.24861420374123 0.0006889051435173909
DP 120.80421346773286 0.0006844782203501838
DP 121.36237983442408 0.0006800780920656038
DP 121.92312516491108 0.000675704605875338
DP 122.48646137509314 0.0006713576098135691
DP 123.05240043592616 0.0006670369527327736
DP 123.62095437367688 0.000662742484299544
DP 124.19213527017835 0.0006584740549904302
DP 124.76595526308698 0.0006542315160877998
DP 125.34242654614 0.0006500147196757229
DP 125.9215613694151 0.00064582351863587
DP 126.50337203959036 0.0006416577666434383
DP 127.08787092020584 0.0006375173181630909
DP 127.67507043192659 0.0006334020284449187
DP 128.26498305280606 0.0006293117535204235
DP 128.8576213185518 0.0006252463501985174
DP 129.45299782279156 0.0006212056760615439
DP 130.05112521734088 0.0006171895894613194
DP 130.65201621247212 0.0006131979495151899
DP 131.25568357718433 0.000609230616102113
DP 131.86214013947483 0.0006052874498587529
DP 132.4713987866117 0.000601368312175599
DP 133.0834724654075 0.0005974730651931021
DP 133.69837418249466 0.0005936015717978276
DP 134.3161170046016 0.000589753695618632
DP 134.93671405883066 0.000585929301022852
DP 135.56017853293687 0.0005821282531125185
DP 136.18652367560819 0.0005783504177205843
DP 136.8157627967472 0.0005745956614071736
DP 137.44790926775374 0.0005708638514558475
DP 138.08297652180923 0.000567154855869889
DP 138.72097805416206 0.000563468543368606
DP 139.36192742241423 0.0005598047833836532
DP 140.00583824680976 0.0005561634460553695
DP 140.65272421052373 0.0005525444022291376
DP 141.30259905995337 0.0005489475234517557
DP 141.95547660501012 0.0005453726819678329
DP 142.6113707194129 0.0005418197507161991
DP 143.2702953409831 0.0005382886033263317
DP 143.93226447194073 0.0005347791141148031
DP 144.59729217920196 0.0005312911580817416
DP 145.26539259467808 0.000527824610907314
DP 145.93657991557566 0.0005243793489482212
DP 146.61086840469844 0.0005209552492342144
DP 147.28827239075025 0.000517552189464627
DP 147.9688062686396 0.0005141700480049233
DP 148.6524844997857 0.0005108087038832628
DP 149.3393216124252 0.0005074680367870872
DP 150.02933220192182 0.0005041479270597155
DP 150.72253093107562 0.0005008482556969635
DP 151.4189325304352 0.0004975689043437749
DP 152.11855179861044 0.000494309755290872
DP 152.821403602587 0.0004910706914714216
DP 153.52750287804227 0.00048785159645771685
DP 154.23686462966282 0.00048465235445787627
DP 154.94950393146317 0.00048147285031255885
DP 155.66543592710616 0.00047831296949169536
DP 156.3846758302247 0.0004751725980912353
DP 157.10723892474505 0.0004720516228299109
DP 157.83314056521172 0.00046894993104601505
DP 158.5623961771137 0.00046586741069419785
DP 159.29502125721226 0.00046280395034227587
DP 160.0310313738701 0.0004597594391680612
DP 160.77044216738238 0.00045673376695620115
DP 161.51326935030906 0.00045372682409503727
DP 162.25952870780876 0.00045073850157347905
DP 163.00923609797408 0.0004477686909778914
DP 163.7624074521688 0.00044481728448900036
DP 164.51905877536623 0.00044188417487881155
DP 165.27920614648946 0.0004389692555075435
DP 166.042865718753 0.00043607242032058007
DP 166.81005372000587 0.0004331935638454336
DP 167.58078645307677 0.0004303325811887241
DP 168.35508029612024 0.0004274893680331751
DP 169.1329517029648 0.0004246638206346225
DP 169.91441720346265 0.00042185583581903953
DP 170.69949340384073 0.00041906531097957476
DP 171.488196987054 0.0004162921440736059
DP 172.2805447131394 0.00041353623361980915
DP 173.0765534195725 0.00041079747869524026
DP 173.87624002162508 0.00040807577893243243
DP 174.67962151272454 0.0004053710345165083
DP 175.4867149648151 0.0004026831461823045
DP 176.29753752872057 0.00040001201521151303
DP 177.11210643450877 0.00039735754342983345
DP 177.93043899185778 0.0003947196332041431
DP 178.7525525904235 0.00039209818743967897
DP 179.57846470020957 0.0003894931095772319
DP 180.40819287193827 0.0003869043035903598
DP 181.2417547374237 0.0003843316739826091
DP 182.07916800994627 0.0003817751257847535
DP 182.92045048462933 0.00037923456455204524
DP 183.76562003881713 0.00037670989636147937
DP 184.61469463245476 0.00037420102780907395
DP 185.46769230846985 0.00037170786600715974
DP 186.32463119315605 0.00036923031858168763
DP 187.18552949655788 0.000366768293669547
DP 188.05040551285825 0.0003643216999158966
DP 188.91927762076662 0.0003618904464715123
DP 189.79216428391004 0.00035947444299014314
DP 190.66908405122524 0.0003570735996258849
DP 191.5500555573528 0.00035468782703056346
DP 192.4350975230331 0.00035231703635113407
DP 193.32422875550452 0.0003499611392270898
DP 194.21746814890253 0.00034762004778788756
DP 195.11483468466167 0.000345293674650382
