IP LINLIN
DP 315.0 0.0
DP 315.000000001 5.494629615035612e-05
DP 316.0 5.456448482921363e-05
DP 317.0 5.4186520457424424e-05
DP 318.0 5.381235232217005e-05
DP 319.0 5.344193053574167e-05
DP 320.0 5.3075206019583645e-05
DP 321.0 5.271213048869427e-05
DP 322.0 5.235265643637469e-05
DP 323.0 5.199673711931715e-05
DP 324.0 5.1644326543024e-05
DP 325.0 5.1295379447549115e-05
DP 326.0 5.094985129355366e-05
DP 327.0 5.0607698248668315e-05
DP 328.0 5.026887717415431e-05
DP 329.0 4.9933345611855884e-05
DP 330.0 4.960106177143681e-05
DP 331.0 4.927198451789414e-05
DP 332.0 4.8946073359342223e-05
DP 333.0 4.862328843506033e-05
DP 334.0 4.830359050379752e-05
DP 335.0 4.79869409323284e-05
DP 336.0 4.7673301684253685e-05
DP 337.0 4.736263530903955e-05
DP 338.0 4.7054904931290194e-05
DP 339.0 4.675007424024762e-05
DP 340.0 4.64481074795136e-05
DP 341.0 4.614896943698813e-05
DP 342.0 4.585262543501938e-05
DP 343.0 4.555904132076004e-05
DP 344.0 4.526818345672518e-05
DP 345.0 4.498001871154677e-05
DP 346.0 4.4694514450920336e-05
DP 347.0 4.441163852873904e-05
DP 348.0 4.413135927841093e-05
DP 349.0 4.385364550435506e-05
DP 350.0 4.357846647367217e-05
DP 351.0 4.330579190798592e-05
DP 352.0 4.3035591975450806e-05
DP 353.0 4.276783728292272e-05
DP 354.0 4.2502498868288585e-05
DP 355.0 4.223954819295115e-05
DP 356.0 4.1978957134465696e-05
DP 357.0 4.1720697979324817e-05
DP 358.0 4.146474341588824e-05
DP 359.0 4.1211066527454046e-05
DP 360.0 4.095964078546835e-05
DP 361.0 4.071044004287015e-05
DP 362.0 4.046343852756828e-05
DP 363.0 4.0218610836047596e-05
DP 364.0 3.997593192710142e-05
DP 365.0 3.9735377115687377e-05
DP 366.0 3.949692206690385e-05
DP 367.0 3.9260542790084594e-05
DP 368.0 3.902621563300854e-05
DP 369.0 3.8793917276222426e-05
DP 370.0 3.856362472747374e-05
DP 371.0 3.83353153162516e-05
DP 372.0 3.810896668843298e-05
DP 373.0 3.788455680103222e-05
DP 374.0 3.766206391705143e-05
DP 375.0 3.7441466600429595e-05
DP 376.0 3.722274371108823e-05
DP 377.0 3.700587440007155e-05
DP 378.0 3.679083810477901e-05
DP 379.0 3.6577614544288334e-05
DP 380.0 3.63661837147669e-05
DP 381.0 3.615652588496987e-05
DP 382.0 3.594862159182291e-05
DP 383.0 3.574245163608784e-05
DP 384.0 3.553799707810949e-05
DP 385.0 3.533523923364189e-05
DP 386.0 3.5134159669752246e-05
DP 387.0 3.493474020080101e-05
DP 388.0 3.473696288449634e-05
DP 389.0 3.4540810018021616e-05
DP 390.0 3.4346264134234226e-05
DP 391.0 3.415330799793426e-05
DP 392.0 3.396192460220172e-05
DP 393.0 3.377209716480058e-05
DP 394.0 3.3583809124648616e-05
DP 395.0 3.339704413835136e-05
DP 396.0 3.3211786076799055e-05
DP 397.0 3.302801902182521e-05
DP 398.0 3.284572726292548e-05
DP 399.0 3.266489529403575e-05
DP 400.0 3.248550781036803e-05
DP 401.0 3.2307549705303094e-05
DP 402.0 3.213100606733881e-05
DP 403.0 3.1955862177092715e-05
DP 404.0 3.178210350435807e-05
DP 405.0 3.160971570521214e-05
DP 406.0 3.1438684619175654e-05
DP 407.0 3.126899626642249e-05
DP 408.0 3.110063684503846e-05
DP 409.0 3.093359272832834e-05
DP 410.0 3.0767850462170115e-05
DP 411.0 3.0603396762415455e-05
DP 412.0 3.0440218512335626e-05
DP 413.0 3.0278302760111795e-05
DP 414.0 3.0117636716368967e-05
DP 415.0 2.995820775175262e-05
DP 416.0 2.980000339454724e-05
DP 417.0 2.964301132833589e-05
DP 418.0 2.948721938970006e-05
DP 419.0 2.9332615565958967e-05
DP 420.0 2.9179187992947577e-05
DP 421.0 2.9026924952832537e-05
DP 422.0 2.8875814871965352e-05
DP 423.0 2.8725846318772052e-05
DP 424.0 2.85770080016786e-05
DP 425.0 2.8429288767071454e-05
DP 426.0 2.8282677597292513e-05
