#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 keV - 10000.0 keV keV):0.0003006110603856791 1 / (cm2 s)


IP LOGLOG

DP 100.0 1.338801132815296e-06
DP 112.53355826007646 1.1423231066524947e-06
DP 126.63801734674034 9.746795457576237e-07
DP 142.5102670302998 8.316387993780573e-07
DP 160.3718743751331 7.095902398294098e-07
DP 180.47217668271702 6.054531232041093e-07
DP 203.09176209047348 5.165988253808804e-07
DP 228.54638641349908 4.407844904203057e-07
DP 257.19138090593447 3.7609641650238054e-07
DP 289.4266124716752 3.209017503566312e-07
DP 325.7020655659783 2.73807270857892e-07
DP 366.5241237079626 2.3362422140524114e-07
DP 412.4626382901352 1.9933830338469282e-07
DP 464.15888336127773 1.7008407329205262e-07
DP 522.3345074266844 1.4512309724934522e-07
DP 587.8016072274912 1.2382531149215513e-07
DP 661.4740641230146 1.0565311833019391e-07
DP 744.3803013251688 9.014781613209254e-08
DP 837.6776400682916 7.691802080074647e-08
DP 942.6684551178854 6.562978647463682e-08
DP 1060.8183551394482 5.5998176082355034e-08
DP 1193.7766417144358 4.778006897466108e-08
DP 1343.3993325989002 4.076802408467579e-08
DP 1511.775070615663 3.478504371038325e-08
DP 1701.2542798525892 2.9680105747094454e-08
DP 1914.4819761699575 2.4801690654060544e-08
DP 2154.4346900318824 2.06478363298265e-08
DP 2424.462017082328 1.7189680778213523e-08
DP 2728.3333764867693 1.4310706484535925e-08
DP 3070.2906297578497 1.1913910603046238e-08
DP 3455.1072945922183 9.918536587327711e-09
DP 3888.155180308085 8.257353216080455e-09
DP 4375.479375074185 6.874389335038402e-09
DP 4923.882631706741 5.723047990445717e-09
DP 5541.020330009492 4.762507141844167e-09
DP 6235.507341273912 3.947683676834428e-09
DP 7017.038286703822 3.2722694052087804e-09
DP 7896.522868499725 2.712412628980392e-09
DP 8886.238162743408 2.24834246781184e-09
DP 10000.0 1.8636706666811453e-09
EN
