#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV):0.002023342547078549 ph/cm^2/s


IP LOGLOG

DP 100.0  2.9654949914390115e-05
DP 109.854  2.3481554692418385e-05
DP 120.679  1.8588073667161952e-05
DP 132.571  1.4709709836429159e-05
DP 145.635  1.1640866609480324e-05
DP 159.986  9.213725114738976e-06
DP 175.751  7.252488750834618e-06
DP 193.07  5.707855099172641e-06
DP 212.095  4.4992441110146135e-06
DP 232.995  3.55419416388669e-06
DP 255.955  2.814458278585834e-06
DP 281.177  2.2301659827737903e-06
DP 308.884  1.771874462339792e-06
DP 339.322  1.4108122776960854e-06
DP 372.759  1.127325156521812e-06
DP 409.492  9.092032824765848e-07
DP 449.843  7.71581361486263e-07
DP 494.171  6.876393766466237e-07
DP 542.868  5.570077127327149e-07
DP 596.362  4.1116308634393535e-07
DP 655.129  2.947087520414494e-07
DP 719.686  2.2809721151244025e-07
DP 790.604  1.8131434144671162e-07
DP 868.511  1.4446436826960341e-07
DP 954.095  1.151356110471084e-07
DP 1048.11  9.174171111876678e-08
DP 1151.4  7.307264569371002e-08
DP 1264.86  5.8165911728169046e-08
DP 1389.5  4.6265159556768255e-08
DP 1526.42  3.6767741775903656e-08
DP 1676.83  2.918658342887822e-08
DP 1842.07  2.312799738569549e-08
DP 2023.59  1.826407854597014e-08
DP 2223.0  1.4404606445381424e-08
DP 2442.05  1.1335828504245282e-08
DP 2682.7  8.897319741786883e-09
DP 2947.05  6.966763818666668e-09
DP 3237.46  5.446448119315228e-09
DP 3556.48  4.24029628468221e-09
DP 3906.94  3.289119128538864e-09
DP 4291.93  2.542887865262436e-09
DP 4714.87  1.9587530045676134e-09
DP 5179.47  1.5024121736716665e-09
DP 5689.87  1.1464999846478365e-09
DP 6250.55  8.706685578624468e-10
DP 6866.49  6.582135608645396e-10
DP 7543.12  4.953172976575356e-10
DP 8286.43  3.7103920668049726e-10
DP 9102.98  2.767142083059264e-10
DP 10000.0  2.05494594e-10
EN
