#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV):0.004888269244132065 ph/cm^2/s


IP LOGLOG

DP 100.0  8.595749108917729e-05
DP 109.854  6.668261811529023e-05
DP 120.679  5.15424065100563e-05
DP 132.571  3.9755397834446926e-05
DP 145.635  3.067171902987003e-05
DP 159.986  2.3603669071149664e-05
DP 175.751  1.8090541380039795e-05
DP 193.07  1.3855387395904086e-05
DP 212.095  1.0595636711130477e-05
DP 232.995  8.089983511588082e-06
DP 255.955  6.180299666098423e-06
DP 281.177  4.7182655658752244e-06
DP 308.884  3.6154739774347544e-06
DP 339.322  2.779202634198686e-06
DP 372.759  2.142339391956869e-06
DP 409.492  1.655436147044672e-06
DP 449.843  1.2881040799563488e-06
DP 494.171  1.005763069227566e-06
DP 542.868  7.8650658661635e-07
DP 596.362  6.142552852693415e-07
DP 655.129  4.779088568409396e-07
DP 719.686  3.699557554871588e-07
DP 790.604  2.848898892620182e-07
DP 868.511  2.1954530935953407e-07
DP 954.095  1.6959782670468394e-07
DP 1048.11  1.3140954545915607e-07
DP 1151.4  1.0208888826852059e-07
DP 1264.86  7.942543314848033e-08
DP 1389.5  6.182383952426444e-08
DP 1526.42  4.812319837517928e-08
DP 1676.83  3.744904450681494e-08
DP 1842.07  2.9129168143408074e-08
DP 2023.59  2.2641968790276742e-08
DP 2223.0  1.7583985484037632e-08
DP 2442.05  1.3646206850214391e-08
DP 2682.7  1.0580907643409022e-08
DP 2947.05  8.196686816784168e-09
DP 3237.46  6.344247424306453e-09
DP 3556.48  4.904466700206346e-09
DP 3906.94  3.785938020777029e-09
DP 4291.93  2.918596855208884e-09
DP 4714.87  2.2466372702803808e-09
DP 5179.47  1.7264611469250756e-09
DP 5689.87  1.3237753650025468e-09
DP 6250.55  1.0126657762920868e-09
DP 6866.49  7.729122162956165e-10
DP 7543.12  5.884688016195519e-10
DP 8286.43  4.468612723294347e-10
DP 9102.98  3.383950821535724e-10
DP 10000.0  2.55417861e-10
EN
