#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV): 0.003371822180706115 ph/cm^2/s


IP LOGLOG

DP  100.0  0.0
DP  109.85411419875584  0.0
DP  120.67926406393289  0.0
DP  132.57113655901094  0.0
DP  145.63484775012444  0.0
DP  159.98587196060572  0.0
DP  175.7510624854791  0.0
DP  193.06977288832496  0.0
DP  212.09508879201903  0.0
DP  232.99518105153717  0.0
DP  255.95479226995357  0.0
DP  281.1768697974231  0.0
DP  308.88435964774817  0.0
DP  339.32217718953297  0.0
DP  372.7593720314938  0.0
DP 409.492  1.3875227188381272e-05
DP 449.843  1.0254603146533864e-05
DP 494.171  7.655098894984489e-06
DP 542.868  5.814364921127005e-06
DP 596.362  4.476482967411902e-06
DP 655.129  3.4686402543224932e-06
DP 719.686  2.6888967266633534e-06
DP 790.604  2.0883878553804146e-06
DP 868.511  1.620386654745446e-06
DP 954.095  1.2618176126848576e-06
DP 1048.11  9.895072477114869e-07
DP 1151.4  7.822774169968296e-07
DP 1264.86  6.21620046502829e-07
DP 1389.5  4.942021582373682e-07
DP 1526.42  3.926987178130433e-07
DP 1676.83  3.115759658779766e-07
DP 1842.07  2.4657707711376527e-07
DP 2023.59  1.9431137059229194e-07
DP 2223.0  1.522868106080646e-07
DP 2442.05  1.1894917779083846e-07
DP 2682.7  9.253114013310762e-08
DP 2947.05  7.168749285584741e-08
DP 3237.46  5.536741215123184e-08
DP 3556.48  4.258833649771881e-08
DP 3906.94  3.263133183997186e-08
DP 4291.93  2.492434594162734e-08
DP 4714.87  1.8981372747575797e-08
DP 5179.47  1.4411432387654169e-08
DP 5689.87  1.090090808541819e-08
DP 6250.55  8.222628688124798e-09
DP 6866.49  6.187230353788692e-09
DP 7543.12  4.644430119119167e-09
DP 8286.43  3.478423005482979e-09
DP 9102.98  2.6000648135187824e-09
DP 10000.0  1.9402809400000003e-09
EN
