# PrimaryAlphas spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 8.607379737602514 sr
# Integral Flux: 0.019645909071087774 #/cm^2/s
IP LOGLOG
DP 100.0 8.302687759770459e-43
DP 120.45035402587824 2.1919252452902114e-42
DP 145.082877849594 5.78674336538039e-42
DP 174.7528400007683 1.527722425222662e-41
DP 210.49041445120199 4.033265297374208e-41
DP 253.53644939701115 1.0648088718435806e-40
DP 305.3855508833416 2.811186029776806e-40
DP 367.8379771828634 7.421833188064245e-40
DP 443.0621457583882 1.959463699513936e-39
DP 533.6699231206312 5.1733110512790814e-39
DP 642.807311728432 1.365860633967279e-38
DP 774.263682681127 3.6062175796971496e-38
DP 932.60334688322 9.52153105565716e-38
DP 1123.3240329780276 2.5140440379359226e-37
DP 1353.0477745798075 6.638233122257896e-37
DP 1629.7508346206434 1.752864763143302e-36
DP 1963.0406500402723 4.628752328058226e-36
DP 2364.4894126454074 1.2223711994228983e-35
DP 2848.035868435802 3.228276588866925e-35
DP 3430.4692863149194 8.526536258545764e-35
DP 4132.012400115339 2.252246040638655e-34
DP 4977.023564332114 5.949887256529562e-34
DP 5994.8425031894085 1.57203246086791e-33
DP 7220.809018385471 4.154190183259674e-33
DP 8697.490026177835 1.0979891480330882e-32
DP 10476.157527896663 2.90278077755417e-32
DP 12618.56883066021 7.676376397944805e-32
DP 15199.11082952933 2.030718675581799e-31
DP 18307.382802953696 5.374345646695035e-31
DP 22051.307399030455 1.4230522953156124e-30
DP 26560.87782946684 3.7703370047054175e-30
DP 31992.671377973846 9.996711066520949e-30
DP 38535.28593710536 2.6528712616920125e-29
DP 46415.88833612782 7.047492230169242e-29
DP 55908.10182512223 1.874585341510328e-28
DP 67341.50657750828 4.993893186960248e-28
DP 81113.08307896872 1.3328152257982075e-27
DP 97700.99572992246 3.564976890380943e-27
DP 117681.19524349991 9.560707541173692e-27
DP 141747.41629268078 2.5721546487267838e-26
DP 170735.26474706922 6.94621633856115e-26
DP 205651.23083486516 1.8843645349088565e-25
DP 247707.6355991714 5.139576216271082e-25
DP 298364.724028334 1.4108615652489977e-24
DP 359381.36638046254 3.9026882394082854e-24
DP 432876.12810830615 1.0893886462792635e-23
DP 521400.8287999695 3.0736822641830596e-23
DP 628029.1441834259 8.78255362269756e-23
DP 756463.3275546291 2.508835217673437e-22
DP 911162.7561154906 7.198669135217303e-22
DP 1097498.7654930567 2.0823687045145455e-21
DP 1321941.1484660313 6.0534965555903775e-21
DP 1592282.793341094 1.7747499917243523e-20
DP 1917910.2616724886 5.275223756084287e-20
DP 2310129.7000831626 1.5951367536089022e-19
DP 2782559.402207126 4.946562462684942e-19
DP 3351602.6509388476 1.5776945832665516e-18
DP 4037017.258596558 5.19982013212623e-18
DP 4862601.580065354 1.776995844345157e-17
DP 5857020.818056673 6.3257746832619e-17
DP 7054802.310718645 2.348170475615988e-16
DP 8497534.359086456 9.07300888634398e-16
DP 10235310.218990268 3.641773588170586e-15
DP 12328467.394420683 1.4637771134705663e-14
DP 14849682.622544665 5.064930058045436e-14
DP 17886495.29057435 9.630504195704571e-14
DP 21544346.900318865 9.008853580887571e-14
DP 25950242.113997374 6.422099057172155e-14
DP 31257158.496882416 4.289537465789462e-14
DP 37649358.067924716 2.8347189027826963e-14
DP 45348785.081285916 1.843211021285695e-14
DP 54622772.17684348 1.1878184175474352e-14
DP 65793322.465756826 7.566552759649285e-15
DP 79248289.83539185 4.8038113377315784e-15
DP 95454845.66618347 3.0104830096517256e-15
DP 114975699.53977403 1.870858673951125e-15
DP 138488637.13938746 1.1625433423236412e-15
DP 166810053.72000557 7.168900607892434e-16
DP 200923300.2565054 4.385961659474722e-16
DP 242012826.47943833 2.6858620670764625e-16
DP 291505306.28251815 1.638088646817286e-16
DP 351119173.42151415 9.89342363459469e-17
DP 422924287.4389499 6.023093055863077e-17
DP 509413801.48163855 3.697943626807194e-17
DP 613590727.3413188 2.2735633604744867e-17
DP 739072203.3525776 1.3718136326341779e-17
DP 890215085.4450393 8.363742377413602e-18
DP 1072267222.0103253 5.2275211797065154e-18
DP 1291549665.0148828 3.189146654574586e-18
DP 1555676143.9304786 1.9427400875910787e-18
DP 1873817422.8603868 1.214162043639846e-18
DP 2257019719.633917 7.40116554980994e-19
DP 2718588242.732951 4.497625375734935e-19
DP 3274549162.877732 2.731100432022346e-19
DP 3944206059.437664 1.6580359255184835e-19
DP 4750810162.102813 1.0065844148668937e-19
DP 5722367659.35022 6.110918157193115e-20
DP 6892612104.3497095 3.7099045219024484e-20
DP 8302175681.319769 2.252262460008786e-20
DP 10000000000.0 1.3673360483583618e-20
EN
