IP LINLIN
DP 1835488530.0 136.1
DP 1835488530.0005 261.5
DP 1835488530.001 136.1
DP 1835488530.0015 2233.1
DP 1835488530.002 0.0
DP 1835488530.0025 2233.1
DP 1835488530.003 11455.1
DP 1835488530.0035 2233.1
DP 1835488530.004 136.1
DP 1835488530.0045 261.5
DP 1835488530.005 0.0
DP 1835488530.0055 136.1
DP 1835488530.006 0.0
DP 1835488530.0065 6721.6
DP 1835488530.007 13397.8
DP 1835488530.0075 11147.7
DP 1835488530.008 0.0
DP 1835488530.0085 0.0
DP 1835488530.009 2554.9
DP 1835488530.0095 0.0
DP 1835488530.01 0.0
DP 1835488530.0105 6495.0
DP 1835488530.011 0.0
DP 1835488530.0115 0.0
DP 1835488530.012 2391.5
DP 1835488530.0125 4544.8
DP 1835488530.013 261.5
DP 1835488530.0135 0.0
DP 1835488530.014 2554.9
DP 1835488530.0145 2233.1
DP 1835488530.015 0.0
DP 1835488530.0155 444927.8
DP 1835488530.016 347254.7
DP 1835488530.0165 16511570.1
DP 1835488530.017 0.0
DP 1835488530.0175 9257728.9
DP 1835488530.018 2516531.4
DP 1835488530.0185 3987668.6
DP 1835488530.019 2711560.7
DP 1835488530.0195 1131096.6
DP 1835488530.02 948291.4
DP 1835488530.0205 311668.7
DP 1835488530.021 493412.6
DP 1835488530.0215 295109.8
DP 1835488530.022 249593.3
DP 1835488530.0225 294527.7
DP 1835488530.023 195227.9
DP 1835488530.0235 132838.7
DP 1835488530.024 151574.0
DP 1835488530.0245 7018.0
DP 1835488530.025 0.0
DP 1835488530.0255 0.0
DP 1835488530.026 0.0
DP 1835488530.0265 85439.8
DP 1835488530.027 76007.4
DP 1835488530.0275 96612.6
DP 1835488530.028 99937.7
DP 1835488530.0285 72943.2
DP 1835488530.029 116087.5
DP 1835488530.0295 128208.7
DP 1835488530.03 96612.6
DP 1835488530.0305 90091.7
DP 1835488530.031 80621.4
DP 1835488530.0315 88666.4
DP 1835488530.032 83737.8
DP 1835488530.0325 62724.5
DP 1835488530.033 113689.4
DP 1835488530.0335 85439.8
DP 1835488530.034 133844.3
DP 1835488530.0345 106721.4
